Country Name,GDP (current US$),Surface area (sq. km),"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
Bulgaria,54300857424.4415,111000,74.3146341463415,1.33635532031811,-0.579220596364389,12.2700004577637,1.11213679402751
Cambodia,14054443213.4639,181040,67.48,1.54704158518933,1.63044345047096,1.27999997138977,1.44051812730616
Canada,1828366481521.6,9879750,81.6487804878049,1.11840459807104,1.08581726304756,7.28999996185303,1.21191754403497
Chile,267122320056.772,756096,79.176,2.04629040727984,0.96307999965156,6.65999984741211,1.13016091759081
Colombia,370921320483.842,1141748,75.882,3.15896023510956,0.900335047336095,9.73999977111816,3.61665506268447
"Congo, Dem. Rep.",29306235826.3885,2344860,57.914,1.13455027573242,3.33757066956072,4.48999977111816,5.93999221220362
Costa Rica,47231651862.8224,51100,79.074,0,1.17835234575071,9.77999973297119,4.73363301380849
Cote d'Ivoire,36302305578.306,322460,54.271,1.52141707161086,2.43594320427159,7.21999979019165,-0.404098358559253
Croatia,57192346923.335,88073,76.9243902439024,1.68841644660392,-0.305655944795909,15.9300003051758,1.42541245703811
Cuba,73141000000,109880,78.446,3.93759997812444,0.1817480467984,3.46000003814697,2.91405780485152
Cyprus,24978513426.6992,9250,79.812,1.65939869584431,0.903504247637881,11.8000001907349,1.6752701237629
Czech Republic,208857719320.649,78870,78.0756097560976,1.0632168166006,0.139925655740972,6.98000001907349,1.45092107055808
Denmark,327148943812.137,42920,80.0512195121951,1.35181897255939,0.376272242619955,7.80000019073486,2.37518362751084
Dominican Republic,60681537195.7996,48670,72.523,0.653151461976632,1.19223652132696,6.71999979019165,5.09818154500647
Ecuador,87924544000,256370,75.495,2.94545286467451,1.4989154903973,3.23000001907349,4.98525306124122
"Egypt, Arab Rep.",279116666666.667,1001450,70.736,1.64817579267929,2.21474099517289,12.6000003814697,19.4828774717686
El Salvador,21386150000,21040,71.692,1.04880962679117,0.439491797451583,3.83999991416931,2.54750952459774
Estonia,23019150071.1867,45230,76.3268292682927,1.8835795803398,-0.357944411443807,10.0200004577637,4.07217562273709
Fiji,3972012570.53467,18270,66.859,1.37635754206869,0.186749844268206,9,3.57651352093811
Finland,258290060227.734,338420,80.6268292682927,1.52658465854544,0.475809486683209,7.69000005722046,2.97397234009919
"Gambia, The",1415006238.09509,11300,60.178,0.789613469805036,3.03116971169135,9.42000007629395,3.84516021372072
Georgia,16488403076.3641,69700,72.097,2.98373409824723,-0.736565518814038,19.6499996185303,0.464401442288846
Greece,242029307133.408,131960,80.6341463414634,2.44367081559838,-0.540752950543684,24.4400005340576,-0.275142403452051
Guatemala,49593961141.7484,108890,72.236,0.475870730886697,1.77749578673149,2.75999999046326,3.37775084412593
Honduras,18400538859.3598,112490,73.814,1.14601855382863,1.86932160846233,3.75,3.57978742613756
Hungary,128857370476.631,93030,75.0634146341463,1.02920536632139,-0.516437606548041,11,2.89320060133669
"Iran, Islamic Rep.",598868460912.847,1745150,74.776,2.75703583035865,1.20517252138084,12.2700004577637,24.0161094436159
Iraq,218002481737.691,435240,69.148,1.89956836613945,3.72062751428444,7.96000003814697,2.66976938276827
Ireland,225496810956.67,70280,80.8463414634146,0.514494537243317,0.4237438032978,15.4499998092651,2.28405268624827
Israel,258417104163.53,22070,81.7048780487805,5.67159045259395,1.84615132126711,6.8600001335144,3.25594063178522
Jamaica,14807086889.2099,10990,74.001,0.929535349323163,0.57148456718391,8.6899995803833,6.57190361388207
Jordan,31634561690.1408,89320,73.722,4.69437935812225,5.42391362973706,12.1999998092651,4.60681522593885
Kazakhstan,207998568865.789,2724902,69.52,1.04690647198097,1.40867688701824,5.28999996185303,4.78556980595843
Kosovo,6163785172.81254,10887,70.4975609756098,0.667563281192859,0.895254757473813,30.8799991607666,3.52540365876908
Kyrgyz Republic,6605139933.41063,199949,70.0024390243902,1.62797221499078,1.66523655939962,8.43000030517578,8.6563168100807
Latvia,28169902669.3784,64480,73.7780487804878,0.902698983774144,-1.24035915329271,15.0500001907349,3.63877279947324
